Time,GPS time, GPS status, Latitude, Lontitude, Altitude, Easting, Northing, Velocity, Heading, Roll,Pitch,Yaw,Accel_Roll,Accel_Pitch,Accel_Yaw,Rate_Roll,Rate_Pitch,Rate_Yaw
0.0,31314.7, 4, 43.0733531620, 141.3380115583,15.011000, 527517.9797,4769016.0266,0.00,88.360, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.5,31315.2, 4, 43.0733531700, 141.3380116167,15.020000, 527517.9844,4769016.0275,0.00,289.750, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.0,31315.7, 4, 43.0733531582, 141.3380116045,15.021000, 527517.9834,4769016.0262,0.00,175.490, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.5,31316.2, 4, 43.0733531215, 141.3380116152,15.022000, 527517.9843,4769016.0221,0.00,16.610, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.0,31316.7, 4, 43.0733531225, 141.3380116047,15.025000, 527517.9835,4769016.0222,0.00,135.560, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.5,31317.2, 4, 43.0733531027, 141.3380116150,15.014000, 527517.9843,4769016.0200,0.00,174.830, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.0,31317.7, 4, 43.0733531147, 141.3380115863,15.013000, 527517.9820,4769016.0214,0.00,270.010, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.5,31318.2, 4, 43.0733531033, 141.3380115888,15.017000, 527517.9822,4769016.0201,0.00,236.620, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.0,31318.7, 4, 43.0733531058, 141.3380115735,15.018000, 527517.9809,4769016.0204,0.00,194.290, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.5,31319.2, 4, 43.0733530893, 141.3380115698,15.021000, 527517.9807,4769016.0186,0.00,352.080, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.0,31319.7, 4, 43.0733530948, 141.3380115587,15.017000, 527517.9797,4769016.0192,0.00,239.430, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.5,31320.2, 4, 43.0733530827, 141.3380115997,15.017000, 527517.9831,4769016.0178,0.00,351.510, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.0,31320.7, 4, 43.0733530783, 141.3380115533,15.021000, 527517.9793,4769016.0173,0.00,311.640, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.5,31321.2, 4, 43.0733530688, 141.3380114708,15.024000, 527517.9726,4769016.0162,0.00,318.360, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.0,31321.7, 4, 43.0733530618, 141.3380114463,15.032000, 527517.9706,4769016.0155,0.00,313.530, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.5,31322.2, 4, 43.0733530488, 141.3380114632,15.031000, 527517.9720,4769016.0140,0.00,139.730, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.0,31322.7, 4, 43.0733530603, 141.3380114467,15.028000, 527517.9706,4769016.0153,0.00,12.940, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.5,31323.2, 4, 43.0733530808, 141.3380115673,15.019000, 527517.9805,4769016.0176,0.00,239.700, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.0,31323.7, 4, 43.0733530813, 141.3380115645,15.018000, 527517.9802,4769016.0177,0.00,295.640, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.5,31324.2, 4, 43.0733531155, 141.3380115510,15.017000, 527517.9791,4769016.0215,0.00,243.420, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.0,31324.7, 4, 43.0733531192, 141.3380115622,15.010000, 527517.9800,4769016.0219,0.00,243.430, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.5,31325.2, 4, 43.0733531202, 141.3380115353,15.006000, 527517.9778,4769016.0220,0.00,219.880, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.0,31325.7, 4, 43.0733531308, 141.3380115615,15.007000, 527517.9800,4769016.0232,0.00,31.240, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.5,31326.2, 4, 43.0733531162, 141.3380115302,15.016000, 527517.9774,4769016.0215,0.00,143.320, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12.0,31326.7, 4, 43.0733531195, 141.3380115120,15.015000, 527517.9759,4769016.0219,0.00,241.250, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12.5,31327.2, 4, 43.0733546220, 141.3380101557,15.037000, 527517.8648,4769016.1883,0.00,336.490, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.0,31327.7, 4, 43.0733561438, 141.3380088315,15.041000, 527517.7564,4769016.3569,0.00,331.170, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.5,31328.2, 4, 43.0733579678, 141.3380074183,15.022000, 527517.6405,4769016.5589,0.00,333.790, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14.0,31328.7, 4, 43.0733597877, 141.3380058043,15.025000, 527517.5083,4769016.7605,0.00,331.580, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14.5,31329.2, 4, 43.0733626787, 141.3380032703,15.024000, 527517.3007,4769017.0807,0.01,334.100, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.0,31329.7, 4, 43.0733655008, 141.3380009228,15.036000, 527517.1083,4769017.3934,0.01,336.730, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.5,31330.2, 4, 43.0733685350, 141.3379984937,15.001000, 527516.9092,4769017.7295,0.01,335.570, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.0,31330.7, 4, 43.0733709838, 141.3379963095,14.988000, 527516.7303,4769018.0007,0.00,333.820, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.5,31331.2, 4, 43.0733734688, 141.3379939963,15.038000, 527516.5409,4769018.2759,0.00,335.270, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17.0,31331.7, 4, 43.0733779377, 141.3379904883,15.042000, 527516.2533,4769018.7710,0.01,340.020, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
